PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,SDSS_objID,SDSS_RA,SDSS_DEC,mode,SDSS_type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,flags_u,flags_g,flags_r,flags_i,flags_z,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,sdistancerank,HASHSDSSdist,r_SDSS_diff
208.5+33.2,Abell~30,8,46,53.5,,17,52,45.48,131.72298,17.8793,T,1992secg.book.....A,127.0,127.0,R,a;m;r;s;,1237667209970778285,131.72273,17.87955,1,6,13.991,14.222,14.515,14.748,15.017,0.012,0.016,0.014,0.013,0.018,14.043,14.222,14.551,14.807,15.087,0.002,0.002,0.003,0.008,0.013,268599312,268603408,4503599895973904,268468240,268468240,13.968,14.15,14.488,14.742,15.017,0.003,0.003,0.004,0.005,0.005,1,1.234,0.026
209.1-08.2,PHR~J0615-0025,6,15,20.36,-,0,25,49.5,93.83483,-0.43042,T,2006MNRAS.373...79P,104.0,102.0,R,s;,1237658221139525920,93.83529,-0.43037,1,3,23.171,20.802,19.96,19.644,19.421,0.859,1.758,1.042,1.359,0.924,24.588,20.663,19.593,19.113,19.283,6.893,4.834,2.199,3.372,3.368,70369012776977,70643890552849,4503874773876752,275280728592,275146375184,23.09,20.424,19.49,19.136,18.915,0.71,0.039,0.025,0.024,0.064,0,1.678,0.47
209.5-04.0,209.5-04.0,6,31,2.9,,1,9,5.0,97.762,1.15139,P,aacker,125.0,-999.0,,,1237646708501120703,97.76172,1.15273,1,6,22.925,22.377,20.547,19.455,18.786,0.677,0.188,0.059,0.042,0.096,22.253,24.697,20.759,19.715,19.009,0.839,2.046,0.152,0.104,0.22,9007199397347585,45036271554265088,4503874773712896,275146342400,158604820905984,23.136,22.384,20.528,19.434,18.77,0.84,0.198,0.061,0.044,0.085,0,4.929,0.02
210.8-02.7,IPHAS~J063750.80+003644.0,6,37,50.8,,0,36,43.99,99.46167,0.61222,P,2009A&A...504..291V,-999.0,-999.0,S,,1237646707964970277,99.46167,0.6122,1,6,23.625,23.519,20.645,19.912,19.056,1.639,0.771,0.353,0.272,0.192,27.42,28.465,20.302,21.025,22.867,1.927,0.836,0.907,4.059,17.111,134381585,9077568275775505,4503599895840016,268468240,275280592912,23.658,23.523,20.647,19.904,19.06,1.311,0.473,0.068,0.064,0.108,0,0.087,-0.002
211.4+18.4,HaWe~10,7,55,11.3,,9,33,9.2,118.79708,9.55256,T,1992secg.book.....A,105.0,105.0,R,r;,1237667782806536482,118.79709,9.55256,1,6,17.07,17.584,18.14,18.529,18.937,0.016,0.015,0.041,0.045,0.038,17.119,17.601,18.177,18.62,19.03,0.011,0.014,0.091,0.104,0.075,268468752,268603920,4503599895838736,268992528,275280592912,17.065,17.549,18.126,18.526,18.948,0.009,0.005,0.007,0.01,0.04,0,0.044,0.014
219.1+31.2,Abell~31,8,54,13.2,,8,53,53.02,133.55482,8.89806,T,1992secg.book.....A,970.0,890.0,E,m;r;s;,1237664285635313718,133.55483,8.89803,1,6,14.751,15.225,15.756,16.103,16.389,0.013,0.018,0.016,0.011,0.015,14.813,15.227,15.808,16.17,16.47,0.002,0.001,0.002,0.003,0.009,2305843009482162192,2305843009484132880,2310346609110581264,2305843009483210768,2305843009482162192,14.747,15.187,15.753,16.101,16.39,0.004,0.004,0.005,0.005,0.008,0,0.097,0.002
228.0-00.4,MPA~J0717-1334,7,17,57.48,-,13,34,7.7,109.4895,-13.56881,T,2008MNRAS.384..525M,192.0,90.0,B,a;m;,1237676584272659446,109.4895,-13.56881,1,6,21.277,21.01,21.093,21.228,21.493,0.148,0.04,0.065,0.104,0.914,21.564,21.03,20.964,21.467,21.947,0.433,0.092,0.131,0.311,1.468,275179929616,275179929616,4503874807300112,275179929616,9008298800091153,21.192,20.78,20.819,21.052,21.375,0.171,0.037,0.062,0.114,0.473,0,0.015,0.273
228.6+01.9,PHR~J0727-1259,7,27,49.0,-,12,59,30.19,111.95416,-12.99172,T,2006MNRAS.373...79P,48.5,47.0,B,a;s;,1237676484415457147,111.95542,-12.99117,1,6,24.165,21.605,20.892,20.505,20.53,1.625,0.075,0.061,0.062,0.285,24.525,21.747,20.998,20.607,21.377,3.243,0.15,0.134,0.135,1.345,9007199422513169,275179929616,4503874807267344,275179896848,70369180385297,24.191,21.551,20.818,20.433,20.552,1.715,0.074,0.062,0.062,0.27,0,4.852,0.074
228.8+05.3,M~1-17,7,40,22.2,-,11,32,29.8,115.09252,-11.54161,T,1992secg.book.....A,3.8,3.8,E,,1237676583201473012,115.09244,-11.54161,1,3,16.407,13.944,14.263,15.668,14.965,0.019,0.006,0.007,0.005,0.016,15.772,13.509,13.421,14.863,14.266,0.005,0.001,0.001,0.003,0.004,2252074960060432,2269667146235920,6755674587562000,2252074960060432,2252074960060432,15.759,13.574,13.439,14.857,14.234,0.005,0.002,0.002,0.003,0.004,0,0.294,0.824
229.3+00.0,PHR~J0722-1434,7,22,14.9,-,14,34,49.01,110.56204,-14.58028,L,2006MNRAS.373...79P,93.0,60.0,E,,1237676582662244078,110.56186,-14.58098,1,6,21.243,19.436,18.648,18.317,18.117,0.177,1.075,0.852,0.734,0.601,21.594,19.312,18.71,18.395,18.149,0.428,1.989,2.019,1.853,1.692,70369146863633,2251800090677776,4503599895838736,402685968,275280592912,21.3,19.406,18.652,18.323,18.104,0.139,0.014,0.01,0.01,0.025,0,2.588,-0.004
229.6-02.7,K~1-10,7,12,35.5,-,16,5,59.71,108.14789,-16.09992,T,1992secg.book.....A,62.0,48.0,B,a;m;p;s;,1237676582124192001,108.14792,-16.09933,1,6,22.364,22.025,22.246,22.116,23.471,0.364,0.104,0.158,0.209,0.631,22.571,22.273,22.333,22.603,23.713,0.674,0.199,0.346,0.663,1.096,70369046200337,275179896848,4503874808315920,70369046167569,9007199397478673,22.433,21.981,22.109,22.069,23.617,0.42,0.103,0.152,0.212,0.631,0,2.119,0.137
