PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,SDSS_objID,SDSS_RA,SDSS_DEC,mode,SDSS_type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,flags_u,flags_g,flags_r,flags_i,flags_z,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,sdistancerank,HASHSDSSdist,r_SDSS_diff
030.8+03.4a,IPHAS~J183531.31-001550.0,18,35,31.3,-,0,15,50.0,278.88046,-0.26389,P,2009A&A...504..291V,-999.0,-999.0,S,,1237668709984109534,278.88045,-0.26392,1,6,21.474,19.746,18.154,17.344,16.683,0.163,0.019,0.016,0.015,0.017,21.559,19.818,18.185,17.405,16.775,0.314,0.026,0.01,0.008,0.018,275322535952,302022672,4503599929360400,302022672,301989904,21.461,19.735,18.137,17.336,16.677,0.166,0.016,0.008,0.006,0.011,1,0.112,0.017
031.1+03.4,PM~1-246,18,36,2.4,-,0,2,27.13,279.00991,-0.04087,L,1988A&AS...76..317P,16.0,16.0,E,,1237668689046999883,279.00965,-0.04057,1,6,25.507,24.186,22.07,20.72,19.552,0.551,0.43,0.093,0.041,0.064,23.918,23.832,21.605,20.517,19.433,1.896,0.811,0.369,0.147,0.173,9007199397380353,9007199388992769,4503874916352512,275146375168,275146375680,26.126,24.083,21.822,20.476,19.38,0.451,0.499,0.099,0.041,0.07,0,1.411,0.248
031.2+05.9,K~3-3,18,27,9.3,,1,14,26.63,276.78874,1.24073,T,1992secg.book.....A,9.5,7.0,E,p;r;s;,1237668710519867310,276.7881,1.24095,1,6,24.04,22.205,21.919,21.846,20.577,1.058,0.316,0.535,0.331,0.405,25.183,22.415,21.884,21.802,20.687,3.155,0.91,1.322,0.916,1.116,9007199288459281,275179929648,4503599929393168,70643924107281,275179929616,24.322,22.098,21.723,21.642,20.426,1.302,0.138,0.15,0.166,0.256,0,2.449,0.196
031.3+02.0,IRAS~18389-0030,18,41,25.9,-,0,27,45.5,280.35812,-0.46264,P,2009A&A...504..291V,-999.0,-999.0,S,,1237668710521571058,280.35816,-0.46258,1,3,22.801,22.628,20.298,19.978,18.333,0.498,0.122,0.03,0.04,0.036,22.911,21.985,19.947,19.619,18.046,1.384,0.213,0.055,0.083,0.076,17,2252074960192784,6755674587529232,2252074960027664,2252074960060432,22.558,22.17,19.849,19.534,17.863,0.52,0.127,0.028,0.03,0.03,0,0.252,0.449
031.7+01.7,PC~20,18,43,3.45,-,0,16,37.5,280.76438,-0.27708,T,1992secg.book.....A,12.0,5.0,B,,1237662981577181155,280.76437,-0.27708,1,3,24.314,19.113,16.822,18.025,16.073,1.638,0.027,0.023,0.205,0.076,24.333,18.64,16.08,17.518,15.474,5.265,0.05,0.037,0.501,0.168,142782737,2252074960195600,6755674587566096,275146375184,275146510352,24.311,18.458,16.071,17.338,15.338,2.521,0.011,0.003,0.011,0.007,0,0.033,0.751
048.8+08.4,Kn~66,18,49,54.9,,17,57,15.01,282.47876,17.95417,L,2014apn6.confE..48K,2.0,2.0,S,,1237666226429495014,282.47858,17.95415,1,3,17.368,16.383,16.897,17.572,17.614,0.021,0.014,0.065,0.111,0.026,17.393,16.294,16.712,17.442,17.557,0.009,0.02,0.155,0.278,0.033,268599312,268603408,6755399709659152,2251800082284560,2410404634595344,17.322,16.256,16.672,17.364,17.419,0.009,0.003,0.004,0.006,0.015,0,0.617,0.225
049.3+88.1,H~4-1,12,59,27.8,,27,38,10.61,194.86575,27.63628,T,1992secg.book.....A,2.7,2.7,E,m;,1237667323797700685,194.86575,27.63629,1,3,17.06,16.165,16.578,18.157,18.293,0.033,0.016,0.015,0.02,0.026,16.324,15.414,15.518,17.2,17.269,0.005,0.001,0.002,0.009,0.03,2252074960060432,2252074960060432,6755674587430928,2252074960060432,2252074968449040,16.301,15.447,15.531,17.16,17.274,0.006,0.003,0.003,0.006,0.017,0,0.045,1.047
050.0+00.5,FBP9,19,21,27.8,,15,22,54.19,290.36566,15.38172,P,CornishCandidates,-999.0,-999.0,,,1237666228043581232,290.36541,15.38201,1,6,23.522,22.008,18.78,17.027,15.668,0.515,0.092,0.021,0.042,0.01,23.973,22.203,18.866,17.069,15.743,1.705,0.184,0.039,0.037,0.011,2314850208468566033,2305843284360036368,2310346609109499920,2305843009482821652,2305843009482686484,23.593,22.021,18.796,17.012,15.675,0.637,0.08,0.01,0.006,0.007,0,1.368,-0.015
050.2-11.9,Pa~144,20,6,31.81,,9,26,20.8,301.63254,9.43911,T,PRC15,27.0,23.0,R,s;,1237666210870329648,301.63149,9.43959,1,6,25.286,23.043,22.299,21.024,20.265,0.847,0.225,0.175,0.093,0.152,25.002,22.808,22.573,21.426,20.663,1.411,0.301,0.387,0.232,0.372,9008298909139217,70643932496145,4573968673570833,72057594339950608,275179929616,25.319,23.032,22.309,21.075,20.298,0.83,0.173,0.133,0.066,0.146,2,4.112,-0.011
050.2-11.9,Pa~144,20,6,31.81,,9,26,20.8,301.63254,9.43911,T,PRC15,27.0,23.0,R,s;,1237666210870329625,301.63255,9.43912,1,6,17.837,18.236,18.658,19.099,19.25,0.018,0.008,0.009,0.018,0.059,17.886,18.261,18.73,19.253,19.638,0.013,0.007,0.014,0.038,0.166,302022672,302022672,4503599929360400,302022672,275179896848,17.843,18.212,18.66,19.109,19.264,0.012,0.006,0.009,0.015,0.061,1,0.049,-0.002
050.5+00.0,NVSS~J192414+153909,19,24,14.558,,15,39,11.215,291.06066,15.65312,L,2009A&A...501..539U,4.0,-999.0,S,,1237666228580647310,291.06067,15.65297,1,3,25.595,24.396,21.76,21.042,17.925,0.77,0.399,1.217,1.181,0.098,26.029,25.128,20.765,20.278,16.845,4.258,8.103,2.48,2.991,0.211,2314851308122837265,2314850208611471633,2310346883987574800,2305843284360069136,2305843284360200208,25.825,24.265,20.707,20.04,16.859,0.995,0.947,0.073,0.064,0.014,0,0.533,1.052
050.6+00.0,IPHASX~J192436.3+154402,19,24,36.3,,15,44,2.0,291.15142,15.73389,T,2014MNRAS.443.3388S,22.6,14.6,E,a;,1237666211401892911,291.15121,15.73317,1,6,22.796,19.337,17.481,16.47,15.749,0.386,0.013,0.008,0.02,0.012,23.479,19.437,17.513,16.518,15.785,1.296,0.018,0.006,0.004,0.008,70369046200337,302546960,4503599929524240,302022672,302022672,22.965,19.338,17.476,16.472,15.731,0.461,0.012,0.005,0.004,0.006,0,2.676,0.005
